Timestamp,Prelim,Actual,Forecast,Previous
2020-06-10 09:30:00,False,0.866M,0.071M,2.796M
2020-06-03 09:30:00,False,2.796M,1.000M,-0.724M
2020-05-28 10:00:00,False,-0.724M,0.100M,2.830M
2020-05-20 09:30:00,False,2.830M,-2.134M,-3.513M
2020-05-13 09:30:00,False,-3.513M,-2.216M,-3.158M
2020-05-06 09:30:00,False,-3.158M,0.043M,-3.669M
2020-04-29 09:30:00,False,-3.669M,2.527M,1.017M
2020-04-22 09:30:00,False,1.017M,3.578M,4.914M
2020-04-15 09:30:00,False,4.914M,6.386M,10.497M
2020-04-08 09:30:00,False,10.497M,4.333M,7.524M
2020-04-01 09:30:00,False,7.524M,1.949M,-1.537M
2020-03-25 09:30:00,False,-1.537M,-0.657M,-6.180M
2020-03-18 09:30:00,False,-6.180M,-2.890M,-5.048M
2020-03-11 09:30:00,False,-5.048M,-2.482M,-4.340M
2020-03-04 10:30:00,False,-4.340M,-2.095M,-2.691M
2020-02-26 10:30:00,False,-2.691M,-2.245M,-1.971M
2020-02-20 11:00:00,False,-1.971M,0.435M,-0.095M
2020-02-12 10:30:00,False,-0.095M,0.546M,-0.091M
2020-02-05 10:30:00,False,-0.091M,2.057M,1.203M
2020-01-29 10:30:00,False,1.203M,1.320M,1.745M
2020-01-23 11:00:00,False,1.745M,3.090M,6.678M
2020-01-15 10:30:00,False,6.678M,3.386M,9.137M
2020-01-08 10:30:00,False,9.137M,2.654M,3.212M
2020-01-03 11:00:00,False,3.212M,1.823M,1.963M
2019-12-27 11:00:00,False,1.963M,1.663M,2.529M
2019-12-18 10:30:00,False,2.529M,2.178M,5.405M
2019-12-11 10:30:00,False,5.405M,2.533M,3.385M
2019-12-04 10:30:00,False,3.385M,1.826M,5.132M
2019-11-27 10:30:00,False,5.132M,1.222M,1.756M
2019-11-20 10:30:00,False,1.756M,0.870M,1.861M
2019-11-14 11:00:00,False,1.861M,-1.167M,-2.828M
2019-11-06 10:30:00,False,-2.828M,-1.809M,-3.037M
2019-10-30 09:30:00,False,-3.037M,-2.185M,-3.107M
2019-10-23 09:30:00,False,-3.107M,-2.267M,-2.562M
2019-10-17 10:00:00,False,-2.562M,-1.209M,-1.213M
2019-10-09 09:30:00,False,-1.213M,-0.257M,-0.228M
2019-10-02 09:30:00,False,-0.228M,0.449M,0.519M
2019-09-25 09:30:00,False,0.519M,0.296M,0.781M
2019-09-18 09:30:00,False,0.781M,-0.538M,-0.682M
2019-09-11 09:30:00,False,-0.682M,-0.847M,-2.396M
2019-09-05 10:00:00,False,-2.396M,-1.523M,-2.090M
2019-08-28 09:30:00,False,-2.090M,-0.388M,0.310M
2019-08-21 09:30:00,False,0.310M,0.169M,-1.412M
2019-08-14 09:30:00,False,-1.412M,0.025M,4.437M
2019-08-07 09:30:00,False,4.437M,-0.722M,-1.791M
2019-07-31 09:30:00,False,-1.791M,-1.449M,-0.226M
2019-07-24 09:30:00,False,-0.226M,-0.730M,3.565M
2019-07-17 09:30:00,False,3.565M,-0.925M,-1.455M
2019-07-10 09:30:00,False,-1.455M,-1.301M,-1.583M
2019-07-03 09:30:00,False,-1.583M,-2.167M,-0.996M
2019-06-26 09:30:00,False,-0.996M,0.288M,-1.692M
2019-06-19 09:30:00,False,-1.692M,0.935M,0.764M
2019-06-12 09:30:00,False,0.764M,0.743M,3.205M
2019-06-05 09:30:00,False,3.205M,0.630M,2.204M
2019-05-30 10:00:00,False,2.204M,-0.528M,3.716M
2019-05-22 09:30:00,False,3.716M,-0.816M,-1.123M
2019-05-15 09:30:00,False,-1.123M,-0.299M,-0.596M
2019-05-08 09:30:00,False,-0.596M,-0.434M,0.917M
2019-05-01 09:30:00,False,0.917M,-1.005M,-2.129M
2019-04-24 09:30:00,False,-2.129M,-1.042M,-1.174M
2019-04-17 09:30:00,False,-1.174M,-2.133M,-7.710M
2019-04-10 09:30:00,False,-7.710M,-2.009M,-1.781M
2019-04-03 09:30:00,False,-1.781M,-1.542M,-2.883M
2019-03-27 09:30:00,False,-2.883M,-2.775M,-4.587M
2019-03-20 09:30:00,False,-4.587M,-2.414M,-4.624M
2019-03-13 09:30:00,False,-4.624M,-2.532M,-4.227M
2019-03-06 10:30:00,False,-4.227M,-2.084M,-1.906M
2019-02-27 10:30:00,False,-1.906M,-1.686M,-1.454M
2019-02-21 11:00:00,False,-1.454M,-0.350M,0.408M
2019-02-13 10:30:00,False,0.408M,0.826M,0.513M
2019-02-06 10:30:00,False,0.513M,1.601M,-2.235M
2019-01-30 10:30:00,False,-2.235M,2.800M,4.050M
2019-01-24 11:00:00,False,4.050M,2.655M,7.503M
2019-01-16 10:30:00,False,7.503M,2.769M,8.066M
2019-01-09 10:30:00,False,8.066M,3.387M,6.890M
2019-01-04 11:00:00,False,6.890M,1.967M,3.003M
2018-12-28 11:00:00,False,3.003M,0.028M,1.766M
2018-12-19 10:30:00,False,1.766M,1.200M,2.087M
2018-12-12 10:30:00,False,2.087M,2.461M,1.699M
2018-12-06 11:00:00,False,1.699M,1.300M,-0.764M
2018-11-28 10:30:00,False,-0.764M,0.640M,-1.295M
2018-11-21 10:30:00,False,-1.295M,-0.198M,-1.411M
2018-11-15 11:00:00,False,-1.411M,-1.479M,1.852M
