time,ask,bid,ask_volume,bid_volume
2017-04-27 09:01:35.102000,1.09102,1.09097,4500000,2620000
2017-04-27 09:01:35.433000,1.09100,1.09096,10720000,4120000
2017-04-27 09:01:35.940000,1.09099,1.09095,1870000,4120000
2017-04-27 09:01:36.481000,1.09098,1.09094,3000000,1000000
2017-04-27 09:01:37.314000,1.09098,1.09093,2250000,3370000
2017-04-27 09:01:38.976000,1.09097,1.09093,1000000,1120000
2017-04-27 09:01:39.281000,1.09092,1.09089,2250000,1000000
2017-04-27 09:01:39.586000,1.09088,1.09085,1500000,1500000
2017-04-27 09:01:40.416000,1.09088,1.09085,1340000,1000000
2017-04-27 09:01:40.940000,1.09088,1.09084,1500000,1000000
2017-04-27 09:01:41.905000,1.09088,1.09084,1840000,1000000
2017-04-27 09:01:42.441000,1.09088,1.09084,1500000,1000000
2017-04-27 09:01:43.041000,1.09088,1.09084,1340000,2250000
2017-04-27 09:01:44.168000,1.09091,1.09090,2250000,4780000
2017-04-27 09:01:44.220000,1.09091,1.09090,1500000,3660000
2017-04-27 09:01:44.374000,1.09094,1.09089,6000000,2250000
2017-04-27 09:01:44.918000,1.09094,1.09089,6370000,1500000
2017-04-27 09:01:45.431000,1.09094,1.09089,7500000,1500000
2017-04-27 09:01:46.528000,1.09091,1.09088,1000000,1120000
2017-04-27 09:01:47.568000,1.09091,1.09087,1720000,4350000
2017-04-27 09:01:48.591000,1.09089,1.09085,3370000,6750000
2017-04-27 09:01:49.151000,1.09089,1.09085,7310000,1000000
2017-04-27 09:01:50.139000,1.09089,1.09084,9190000,1000000
2017-04-27 09:01:50.756000,1.09089,1.09084,8620000,1500000
2017-04-27 09:01:51.331000,1.09089,1.09084,7310000,1500000
2017-04-27 09:01:51.870000,1.09089,1.09084,8810000,1500000
2017-04-27 09:01:53.471000,1.09089,1.09084,10500000,1000000
2017-04-27 09:01:54.457000,1.09088,1.09084,1000000,1000000
2017-04-27 09:01:55.378000,1.09089,1.09084,9750000,1000000
2017-04-27 09:01:55.660000,1.09089,1.09084,8440000,1000000
2017-04-27 09:01:55.762000,1.09089,1.09084,9000000,1000000
2017-04-27 09:01:56.219000,1.09089,1.09084,7890000,1000000
2017-04-27 09:01:57.119000,1.09088,1.09085,1350000,1000000
2017-04-27 09:01:57.479000,1.09089,1.09086,1500000,2620000
2017-04-27 09:01:57.785000,1.09092,1.09089,1370000,1000000
2017-04-27 09:01:58.299000,1.09093,1.09088,4500000,1500000
2017-04-27 09:01:58.970000,1.09093,1.09088,4350000,1500000
2017-04-27 09:01:59.326000,1.09093,1.09090,1000000,1120000
2017-04-27 09:02:00.439000,1.09093,1.09089,1120000,1000000
2017-04-27 09:02:00.953000,1.09093,1.09089,2620000,1000000
2017-04-27 09:02:02.466000,1.09092,1.09087,3370000,7870000
2017-04-27 09:02:03.411000,1.09092,1.09088,3370000,1000000
2017-04-27 09:02:04.720000,1.09092,1.09087,3370000,8620000
2017-04-27 09:02:04.985000,1.09089,1.09087,3370000,1000000
2017-04-27 09:02:05.188000,1.09086,1.09082,1000000,6370000
2017-04-27 09:02:05.694000,1.09087,1.09082,4870000,5620000
2017-04-27 09:02:11.024000,1.09087,1.09083,3370000,1870000
2017-04-27 09:02:11.595000,1.09088,1.09084,9750000,1870000
2017-04-27 09:02:12.377000,1.09088,1.09083,8250000,1870000
2017-04-27 09:02:13.187000,1.09087,1.09083,1000000,1870000
2017-04-27 09:02:13.844000,1.09088,1.09083,8250000,1870000
2017-04-27 09:02:16.360000,1.09087,1.09082,1000000,5250000
2017-04-27 09:02:16.945000,1.09087,1.09083,1120000,1870000
2017-04-27 09:02:17.571000,1.09088,1.09084,5250000,1000000
2017-04-27 09:02:18.078000,1.09087,1.09083,1500000,2620000
2017-04-27 09:02:18.609000,1.09088,1.09083,5770000,5250000
2017-04-27 09:02:19.324000,1.09085,1.09082,1000000,3750000
2017-04-27 09:02:19.830000,1.09085,1.09081,3520000,1000000
2017-04-27 09:02:21.487000,1.09083,1.09080,1910000,2250000
2017-04-27 09:02:21.589000,1.09082,1.09078,6980000,3000000
2017-04-27 09:02:21.844000,1.09081,1.09075,6750000,5620000
2017-04-27 09:02:22.305000,1.09078,1.09073,1500000,5100000
2017-04-27 09:02:22.813000,1.09078,1.09073,3000000,3000000
2017-04-27 09:02:23.142000,1.09078,1.09073,4330000,2620000
2017-04-27 09:02:24.800000,1.09078,1.09074,3950000,1000000
2017-04-27 09:02:25.316000,1.09078,1.09073,2450000,3370000
2017-04-27 09:02:31.551000,1.09078,1.09073,2450000,2060000
2017-04-27 09:02:32.133000,1.09078,1.09073,3200000,3190000
2017-04-27 09:02:33.554000,1.09078,1.09073,4700000,2060000
2017-04-27 09:02:34.937000,1.09075,1.09072,1120000,5060000
2017-04-27 09:02:34.988000,1.09075,1.09072,1500000,1000000
2017-04-27 09:02:35.091000,1.09073,1.09071,1000000,1250000
2017-04-27 09:02:35.193000,1.09075,1.09072,3000000,1120000
2017-04-27 09:02:35.700000,1.09077,1.09072,1600000,3750000
2017-04-27 09:02:37.447000,1.09077,1.09072,1200000,7310000
2017-04-27 09:02:39.016000,1.09078,1.09072,4910000,6560000
2017-04-27 09:02:40.157000,1.09078,1.09073,1910000,1310000
2017-04-27 09:02:40.912000,1.09074,1.09072,2850000,1870000
2017-04-27 09:02:41.014000,1.09073,1.09069,3640000,2250000
2017-04-27 09:02:41.419000,1.09072,1.09068,3300000,1000000
2017-04-27 09:02:41.940000,1.09072,1.09067,2700000,3750000
2017-04-27 09:02:42.615000,1.09073,1.09068,7500000,1000000
2017-04-27 09:02:43.972000,1.09073,1.09069,2250000,1000000
2017-04-27 09:02:47.058000,1.09073,1.09072,1500000,1000000
2017-04-27 09:02:47.261000,1.09077,1.09074,1200000,1000000
2017-04-27 09:02:47.312000,1.09078,1.09074,2620000,1000000
2017-04-27 09:02:47.927000,1.09076,1.09074,1000000,1000000
2017-04-27 09:02:48.029000,1.09078,1.09074,1120000,1000000
2017-04-27 09:02:50.818000,1.09078,1.09077,1500000,2620000
2017-04-27 09:02:51.020000,1.09082,1.09078,1500000,1870000
2017-04-27 09:02:51.072000,1.09082,1.09078,1500000,1870000
2017-04-27 09:02:52.988000,1.09081,1.09078,1500000,1500000
2017-04-27 09:02:53.539000,1.09081,1.09077,1870000,1120000
2017-04-27 09:02:56.218000,1.09081,1.09077,4600000,1000000
2017-04-27 09:02:58.429000,1.09081,1.09078,1980000,1000000
2017-04-27 09:02:58.798000,1.09082,1.09079,3560000,1000000
2017-04-27 09:02:58.900000,1.09083,1.09081,1000000,1370000
2017-04-27 09:02:59.002000,1.09084,1.09081,3000000,1000000
2017-04-27 09:03:00.137000,1.09084,1.09080,7350000,2620000
2017-04-27 09:03:00.340000,1.09083,1.09078,6790000,7120000
2017-04-27 09:03:00.869000,1.09082,1.09078,1000000,4120000
2017-04-27 09:03:01.737000,1.09081,1.09078,1000000,3370000
2017-04-27 09:03:02.280000,1.09083,1.09078,10540000,3370000
2017-04-27 09:03:02.648000,1.09082,1.09080,1720000,1000000
2017-04-27 09:03:04.359000,1.09082,1.09078,1350000,6000000
2017-04-27 09:03:05.417000,1.09083,1.09079,9790000,1000000
2017-04-27 09:03:06.042000,1.09082,1.09078,1350000,5250000
2017-04-27 09:03:08.328000,1.09081,1.09079,1000000,1870000
2017-04-27 09:03:08.480000,1.09082,1.09077,2620000,4870000
2017-04-27 09:03:09.816000,1.09082,1.09078,1000000,1870000
2017-04-27 09:03:10.716000,1.09082,1.09077,1000000,5620000
2017-04-27 09:03:11.243000,1.09083,1.09078,10910000,1870000
2017-04-27 09:03:14.058000,1.09080,1.09077,3190000,1870000
2017-04-27 09:03:14.160000,1.09078,1.09074,2470000,1000000
2017-04-27 09:03:14.674000,1.09079,1.09075,6000000,1500000
2017-04-27 09:03:15.183000,1.09079,1.09075,1000000,3000000
2017-04-27 09:03:16.207000,1.09079,1.09074,3750000,3750000
2017-04-27 09:03:16.854000,1.09078,1.09074,6000000,1000000
2017-04-27 09:03:18.356000,1.09076,1.09072,2250000,7870000
2017-04-27 09:03:18.890000,1.09077,1.09073,1500000,2620000
2017-04-27 09:03:20.293000,1.09076,1.09073,1000000,1870000
